Numero,Vecinos,Porcentaje,Accuracy,Precision,Recall
1884,69,75,0.9327619047619048,0.9330713422058763,0.9317342405854798
1885,71,75,0.9319047619047619,0.932176238697916,0.9308815189061649
1886,73,75,0.9312380952380952,0.9315454364695359,0.9302051473945017
1887,75,75,0.9306666666666666,0.9309708197241786,0.9296074776290537
1888,77,75,0.9306666666666666,0.9309901400250613,0.929597017488201
1889,79,75,0.9296190476190476,0.9299691705911801,0.9285622324250138
1890,81,75,0.9294285714285714,0.9298203108908085,0.9283265219487946
1891,83,75,0.9294285714285714,0.9298205079430011,0.9283487227168925
1892,85,75,0.929047619047619,0.9293998702296816,0.9279487940699424
1893,87,75,0.9285714285714286,0.9290117282658548,0.9274690372485337
1894,89,75,0.9281904761904762,0.928600750108956,0.9270429212263842
1895,91,75,0.9278095238095239,0.9281555743122862,0.9266665504213758
1896,93,75,0.9278095238095239,0.9281496861772517,0.9266608802910863
1897,95,75,0.9276190476190476,0.9279748323864629,0.9264924398721759
1898,97,75,0.9271428571428572,0.9274702960799205,0.9259659117044201
1899,99,75,0.9261904761904762,0.9264953338412676,0.9249414059709002
1900,1,77,0.9531055900621118,0.9526123424157534,0.9525566258358111
1901,3,77,0.9548654244306418,0.9545282445342356,0.95436832274239
1902,5,77,0.9554865424430642,0.9550789592841642,0.9550180537075962
1903,7,77,0.9548654244306418,0.9544482121777822,0.954332929283417
1904,9,77,0.9543478260869566,0.9540366347159142,0.9538362610351033
1905,11,77,0.9533126293995859,0.9529944443761973,0.9528076148664851
1906,13,77,0.9532091097308488,0.9529877866558284,0.9526193840368326
1907,15,77,0.9492753623188406,0.9491011527277948,0.9486404936682019
1908,17,77,0.9468944099378882,0.9467243029812327,0.9461699655755798
1909,19,77,0.9453416149068323,0.9451647182958969,0.9445735798380801
1910,21,77,0.9452380952380952,0.9450515746032722,0.9446269975086674
1911,23,77,0.9440993788819876,0.9438950183743081,0.943361896389441
1912,25,77,0.9433747412008282,0.9433128779239978,0.9426506495217527
1913,27,77,0.9427536231884058,0.9426789685610177,0.9420654456389906
1914,29,77,0.9422360248447205,0.9422127294342065,0.9415058177426596
1915,31,77,0.9405797101449276,0.9405715965398048,0.9398678564390313
1916,33,77,0.9404761904761905,0.9405331513819192,0.9397201366146144
1917,35,77,0.9390269151138716,0.9390629447569709,0.9382275476897327
1918,37,77,0.9380952380952381,0.9380405121691876,0.9372785563563013
1919,39,77,0.9380952380952381,0.9380505265292906,0.9373119437316509
1920,41,77,0.9387163561076605,0.9386996289505072,0.9379508869333701
1921,43,77,0.9374741200828157,0.9375085380260236,0.9366310407909145
1922,45,77,0.9368530020703933,0.9368847488465077,0.9359746247945873
1923,47,77,0.9364389233954451,0.9364311469132242,0.9355184217395344
1924,49,77,0.9360248447204969,0.9360205361201658,0.9351394214111639
1925,51,77,0.9356107660455486,0.935713182652081,0.9347292267874112
1926,53,77,0.9346790890269151,0.9348046568230138,0.9337724344039756
1927,55,77,0.9334368530020704,0.9335964361744902,0.9324693089442835
1928,57,77,0.932712215320911,0.9327926834360107,0.9316998996942629
1929,59,77,0.9324016563146998,0.9324657922349411,0.9313684597306393
1930,61,77,0.9317805383022775,0.9318578736403117,0.9306901337939326
1931,63,77,0.931055900621118,0.9311591422933387,0.930027868408956
1932,65,77,0.9303312629399586,0.9304810911274913,0.9293133873812579
1933,67,77,0.9302277432712215,0.9304068305740749,0.9292471837232364
1934,69,77,0.9295031055900621,0.9295291206976393,0.9284850436955109
1935,71,77,0.9288819875776397,0.9289234598933584,0.9278467952387148
1936,73,77,0.9282608695652174,0.9283619903632806,0.9272958920677861
1937,75,77,0.9273291925465839,0.927409168214233,0.9263073833126361
1938,77,77,0.9269151138716356,0.927019547903875,0.9259060058257642
1939,79,77,0.9270186335403726,0.9271031801988311,0.9259830545443786
1940,81,77,0.9255693581780539,0.9256768838378407,0.9245103997471713
1941,83,77,0.9254658385093167,0.925590899839776,0.9243927861041902
1942,85,77,0.9249482401656315,0.925074812843971,0.923823120403348
1943,87,77,0.9250517598343685,0.9252042594102869,0.9239468195607741
1944,89,77,0.924223602484472,0.9244164738669627,0.9230746142813242
1945,91,77,0.9238095238095239,0.9240542017912116,0.9226624612772806
1946,93,77,0.9231884057971015,0.9235222106838004,0.9220396534714951
1947,95,77,0.9230848861283644,0.9234326647585108,0.9219242916277132
1948,97,77,0.9229813664596274,0.9233524957771992,0.9218158263426167
1949,99,77,0.9220496894409937,0.922423082631569,0.9208537026172579
1950,1,79,0.9577097505668934,0.9574489966329475,0.9572056062362206
1951,3,79,0.9604308390022676,0.9601829462946065,0.9598741631354825
1952,5,79,0.9607709750566893,0.9604691276169064,0.9602497087532946
1953,7,79,0.958843537414966,0.9585960566387802,0.9581716965638248
1954,9,79,0.9574829931972789,0.9571358494971791,0.9568471196704849
1955,11,79,0.9554421768707483,0.9552162837481932,0.9547679548055464
1956,13,79,0.9541950113378684,0.953910965690801,0.9535317070917808
1957,15,79,0.9530612244897959,0.9528721072279153,0.952381373132317
1958,17,79,0.9518140589569161,0.9516185329336,0.951176654624225
1959,19,79,0.9513605442176871,0.9511484633824885,0.9507444227506431
1960,21,79,0.9501133786848073,0.9499808306474463,0.9494497004156036
1961,23,79,0.9486394557823129,0.9485001195026237,0.9479464756131805
1962,25,79,0.9471655328798186,0.9470101975897514,0.9464689557237012
1963,27,79,0.9476190476190476,0.9475663743583261,0.9469363722179818
1964,29,79,0.9464852607709751,0.9465525220460103,0.9457751203964643
1965,31,79,0.9452380952380952,0.9453530383231978,0.9444793205805319
1966,33,79,0.944671201814059,0.9448466801653485,0.943881952795795
1967,35,79,0.9433106575963719,0.943371855443085,0.942436788731631
1968,37,79,0.9426303854875283,0.9427599982478639,0.9417299606332612
1969,39,79,0.9421768707482994,0.942249205454025,0.9413142354106055
1970,41,79,0.9422902494331066,0.9424735774863452,0.9414323089217502
1971,43,79,0.9404761904761905,0.9406846941474478,0.9395636835043508
1972,45,79,0.9405895691609978,0.9406663942006874,0.9396837824841875
1973,47,79,0.9394557823129251,0.9397080708213912,0.938548684032182
1974,49,79,0.9386621315192744,0.9390012336602224,0.9377278925938016
1975,51,79,0.9382086167800453,0.9385442321752849,0.9372641121959949
1976,53,79,0.9379818594104309,0.9383309887795317,0.9369989943968349
1977,55,79,0.9365079365079365,0.9368019574356452,0.9355177478649541
1978,57,79,0.9361678004535148,0.9364274109750962,0.9351348918890446
1979,59,79,0.9351473922902495,0.9354394254059187,0.9340953428208716
1980,61,79,0.9346938775510204,0.9349367003527256,0.9337014626462246
1981,63,79,0.9340136054421768,0.9342829000236674,0.9329913194212225
1982,65,79,0.9336734693877551,0.9339856753521987,0.9326540318190348
1983,67,79,0.9328798185941043,0.933204123988622,0.931827973612441
1984,69,79,0.9326530612244898,0.932895145667198,0.9315951982864078
1985,71,79,0.9324263038548752,0.932761268177573,0.9313579539270778
1986,73,79,0.9312925170068027,0.9315631602096801,0.9302302881556044
1987,75,79,0.9316326530612244,0.9318818209395008,0.9306226572050555
1988,77,79,0.9308390022675737,0.9310845238809373,0.9297703580619643
1989,79,79,0.930952380952381,0.9311865579020578,0.9298610883875902
1990,81,79,0.9298185941043083,0.9300770403387414,0.9286612382848123
